,t1,trgt,pt,sl
2010-06-23 14:16:42,2010-06-24 11:23:16,0.012860376816650866,1,1
2010-06-23 14:30:57,2010-06-24 09:59:54,0.01278882968058073,1,1
2010-06-23 14:39:12,2010-06-24 09:50:35,0.01271369950007432,1,1
2010-06-23 15:02:20,2010-06-24 09:59:54,0.012592327108700134,1,1
2010-06-23 15:20:46,2010-06-24 11:23:16,0.012501234626117373,1,1
2010-06-23 15:40:32,2010-06-24 11:23:16,0.012377786124179325,1,1
2010-06-23 15:56:22,2010-06-24 11:23:16,0.01225470563431903,1,1
2010-06-24 09:31:16,2010-06-29 09:31:26,0.012171504219959094,1,1
2010-06-24 09:36:10,2010-06-25 10:33:33,0.0120781868413506,1,1
2010-06-24 09:50:35,2010-06-29 09:31:26,0.011960642154481041,1,1
2010-06-24 09:59:54,2010-06-29 09:31:26,0.011861696365065006,1,1
2010-06-24 10:23:20,2010-06-29 09:31:26,0.011770540790182237,1,1
2010-06-24 10:41:07,2010-06-29 09:31:26,0.011653467616660813,1,1
2010-06-24 10:59:29,2010-06-29 09:31:26,0.011540432312104386,1,1
2010-06-24 11:23:16,2010-06-29 09:31:26,0.011456568156705774,1,1
2010-06-24 11:43:50,2010-06-29 09:31:26,0.011347230007624054,1,1
2010-06-24 12:20:18,2010-06-29 09:31:26,0.011235036428472983,1,1
2010-06-24 13:00:58,2010-06-29 09:31:26,0.01112347374035801,1,1
2010-06-24 13:48:37,2010-06-29 09:31:26,0.01101421585921892,1,1
2010-06-24 14:05:09,2010-06-25 10:33:33,0.010908944314826701,1,1
2010-06-24 14:48:28,2010-06-29 09:31:26,0.010854300169775065,1,1
2010-06-24 15:07:05,2010-06-29 09:31:26,0.0107686086317873,1,1
2010-06-24 15:15:41,2010-06-29 09:39:07,0.01073944182620639,1,1
2010-06-24 15:23:47,2010-06-29 09:31:26,0.010660422526516515,1,1
2010-06-24 15:24:36,2010-06-29 09:31:26,0.01058296052619218,1,1
2010-06-24 15:44:24,2010-06-29 09:31:26,0.010520170561430698,1,1
2010-06-24 15:52:33,2010-06-29 09:31:26,0.010461442787715877,1,1
2010-06-24 15:59:41,2010-06-29 09:39:07,0.010414951031791794,1,1
2010-06-25 09:44:29,2010-06-29 09:31:26,0.010311391904295709,1,1
2010-06-25 09:55:10,2010-06-29 09:31:26,0.010212534983118284,1,1
2010-06-25 09:56:51,2010-06-29 09:31:26,0.010122608827027814,1,1
2010-06-25 10:08:54,2010-06-29 09:31:26,0.010092693524913153,1,1
2010-06-25 10:19:35,2010-06-29 09:31:26,0.010035157920127347,1,1
2010-06-29 10:28:51,2010-06-30 15:41:01,0.01034450591486891,1,1
2010-06-29 10:51:56,2010-06-30 15:41:01,0.01061389114108886,1,1
2010-06-29 11:18:03,2010-06-29 15:46:44,0.010917366310626016,1,1
2010-06-29 11:43:44,2010-06-30 15:41:01,0.0112672272942788,1,1
2010-06-29 12:18:15,2010-06-30 15:41:01,0.011562966851843841,1,1
2010-06-29 12:53:36,2010-06-30 15:41:01,0.011710929948054767,1,1
2010-06-29 13:32:41,2010-06-30 15:44:14,0.01200211238455365,1,1
2010-06-29 14:13:42,2010-06-30 15:41:01,0.012064269381068346,1,1
2010-06-29 14:46:23,2010-06-30 15:41:01,0.012285581715916798,1,1
2010-06-29 15:13:26,2010-06-30 15:45:07,0.012554163184984547,1,1
2010-06-29 15:32:37,2010-07-01 10:03:28,0.012833640151138744,1,1
2010-06-29 15:46:44,2010-07-01 10:03:28,0.013201078669123683,1,1
2010-06-29 15:54:38,2010-07-01 10:03:28,0.013364964406921186,1,1
2010-06-29 15:59:55,2010-07-01 10:03:28,0.013496182257327023,1,1
2010-06-30 09:36:27,2010-07-01 10:03:28,0.013365102504654686,1,1
2010-06-30 09:38:56,2010-06-30 15:45:27,0.013234664065961495,1,1
2010-06-30 09:55:59,2010-06-30 15:41:01,0.013147383466140564,1,1
2010-06-30 10:08:56,2010-06-30 15:45:07,0.01308225611569385,1,1
2010-06-30 10:30:08,2010-06-30 15:45:07,0.013063071616287341,1,1
2010-06-30 10:56:43,2010-06-30 15:45:07,0.013007377601197153,1,1
2010-06-30 11:29:21,2010-06-30 15:41:04,0.012955656745599994,1,1
2010-06-30 12:16:25,2010-06-30 15:41:01,0.012964223891165805,1,1
2010-06-30 13:05:19,2010-06-30 15:44:14,0.012906179998895166,1,1
2010-06-30 13:59:00,2010-06-30 15:44:14,0.012921876533035594,1,1
2010-06-30 14:07:17,2010-06-30 15:45:07,0.012912050073440198,1,1
2010-06-30 14:38:23,2010-06-30 15:45:07,0.012822104409946689,1,1
2010-06-30 15:17:38,2010-07-01 10:03:28,0.012690193482919578,1,1
2010-06-30 15:26:12,2010-07-01 10:03:28,0.012606585756934796,1,1
2010-06-30 15:34:03,2010-07-01 10:03:28,0.012522741680551765,1,1
2010-06-30 15:41:01,2010-07-01 10:33:48,0.012405967925789541,1,1
2010-06-30 15:41:04,2010-07-01 10:33:48,0.012288282040223772,1,1
2010-06-30 15:44:14,2010-07-01 10:41:19,0.01216934323288155,1,1
2010-06-30 15:45:07,2010-07-01 10:41:19,0.012048291037539844,1,1
2010-06-30 15:45:27,2010-07-01 10:41:19,0.011928439100181282,1,1
2010-06-30 15:46:01,2010-07-01 10:41:19,0.011809876525187215,1,1
2010-06-30 15:48:27,2010-07-01 10:41:19,0.011714035151622752,1,1
2010-06-30 15:50:37,2010-07-01 10:17:11,0.011646052317250643,1,1
2010-06-30 15:53:37,2010-07-01 10:33:48,0.011550031789404851,1,1
2010-06-30 15:57:36,2010-07-01 10:41:19,0.011321574906639124,1,1
2010-06-30 15:59:50,2010-07-01 10:33:48,0.011208981706657423,1,1
2010-07-01 09:32:52,2010-07-01 10:41:19,0.011099501546818259,1,1
2010-07-01 09:47:09,2010-07-01 10:17:11,0.010989398930676839,1,1
2010-07-01 09:59:36,2010-07-01 10:41:19,0.010908495208514394,1,1
2010-07-01 10:03:28,2010-07-01 11:09:52,0.010953391650601439,1,1
2010-07-01 10:13:09,2010-07-01 11:09:52,0.010925375911931528,1,1
2010-07-01 10:17:11,2010-07-02 09:39:08,0.010939644955558549,1,1
2010-07-01 10:28:11,2010-07-06 09:31:49,0.010939751603195007,1,1
2010-07-01 10:33:48,2010-07-02 09:39:08,0.01096904599931138,1,1
2010-07-01 10:41:19,2010-07-01 12:45:36,0.011176816330699994,1,1
2010-07-01 10:42:47,2010-07-01 12:45:36,0.011340979144658184,1,1
2010-07-01 10:45:02,2010-07-01 12:45:36,0.011459338827132648,1,1
2010-07-01 10:57:51,2010-07-01 12:45:36,0.01153026079627781,1,1
2010-07-01 11:05:08,2010-07-01 12:45:36,0.011654986210248137,1,1
2010-07-01 11:09:52,2010-07-01 12:45:36,0.011818398154590917,1,1
2010-07-01 11:16:09,2010-07-01 12:45:36,0.01192108466738218,1,1
2010-07-01 11:27:59,2010-07-02 09:39:08,0.011917384534128538,1,1
2010-07-01 11:37:27,2010-07-02 09:39:08,0.011908287596476469,1,1
2010-07-01 11:48:04,2010-07-06 09:31:49,0.011864463538975982,1,1
2010-07-01 11:57:04,2010-07-02 09:39:08,0.011871617464681938,1,1
2010-07-01 12:14:21,2010-07-02 09:39:08,0.011883029562816809,1,1
2010-07-01 12:15:06,2010-07-02 09:39:08,0.011883210621730976,1,1
2010-07-01 12:23:40,2010-07-02 09:31:15,0.01192456700455901,1,1
2010-07-01 12:39:35,2010-07-06 09:31:49,0.01186487596438402,1,1
2010-07-01 12:45:36,2010-07-02 13:00:55,0.011755975992921415,1,1
2010-07-01 13:01:47,2010-07-06 09:57:54,0.011671560445076756,1,1
2010-07-01 13:28:20,2010-07-06 10:02:21,0.011458837493884478,1,1
2010-07-01 13:42:17,2010-07-06 10:19:55,0.011349136088890252,1,1
2010-07-01 13:52:53,2010-07-06 10:19:55,0.011238427921936458,1,1
2010-07-01 14:02:03,2010-07-02 13:00:55,0.011127413706639095,1,1
2010-07-01 14:12:38,2010-07-02 13:00:55,0.011017509760543507,1,1
2010-07-01 14:21:49,2010-07-02 13:00:55,0.010908236742183093,1,1
2010-07-01 14:33:41,2010-07-02 13:00:55,0.010800210763386633,1,1
2010-07-01 14:44:15,2010-07-06 09:31:49,0.010699658052212234,1,1
2010-07-01 14:51:54,2010-07-06 09:31:49,0.010615219192012878,1,1
2010-07-01 14:57:09,2010-07-06 09:31:49,0.010517949031585962,1,1
2010-07-01 15:03:56,2010-07-02 13:00:55,0.010317703109348174,1,1
2010-07-01 15:12:39,2010-07-02 13:00:55,0.01021620546889472,1,1
2010-07-01 15:20:50,2010-07-02 13:00:55,0.010123422489259707,1,1
2010-07-01 15:26:30,2010-07-06 09:31:49,0.01002424941901746,1,1
2010-07-01 15:41:40,2010-07-02 11:41:10,0.01003782302431328,1,1
2010-07-01 15:45:21,2010-07-02 11:41:10,0.01016592652926956,1,1
2010-07-01 15:49:26,2010-07-06 09:57:54,0.010161255746676697,1,1
2010-07-01 15:53:53,2010-07-02 13:00:55,0.010204049461231348,1,1
2010-07-01 15:56:04,2010-07-02 11:41:10,0.010264227215577203,1,1
2010-07-01 15:58:04,2010-07-02 11:41:10,0.010380705832986706,1,1
2010-07-01 15:59:52,2010-07-02 13:00:55,0.010387702239898187,1,1
2010-07-01 16:07:28,2010-07-06 09:31:49,0.010318622345828508,1,1
2010-07-01 16:20:49,2010-07-06 09:31:49,0.010252592907674983,1,1
2010-07-02 09:31:15,2010-07-02 11:41:10,0.010287280538247887,1,1
2010-07-02 09:39:08,2010-07-02 11:41:10,0.01040913252455683,1,1
2010-07-02 09:52:37,2010-07-02 11:41:10,0.010383488847722501,1,1
2010-07-02 10:00:05,2010-07-02 13:00:55,0.010375185458669438,1,1
2010-07-02 10:37:58,2010-07-02 13:00:55,0.010657190298877841,1,1
2010-07-02 11:20:23,2010-07-06 09:31:49,0.011010100455584867,1,1
2010-07-02 11:41:10,2010-07-06 09:31:49,0.011007962672822506,1,1
2010-07-02 12:18:23,2010-07-06 09:31:49,0.011075420425926118,1,1
2010-07-02 12:39:19,2010-07-06 09:31:49,0.011137825412247804,1,1
2010-07-02 13:00:55,2010-07-06 09:31:49,0.011027005274584424,1,1
2010-07-02 13:26:42,2010-07-06 09:31:49,0.010944664589717462,1,1
2010-07-02 14:07:35,2010-07-06 09:31:49,0.010856851760290684,1,1
2010-07-02 14:07:36,2010-07-06 09:31:49,0.0107710300364673,1,1
2010-07-02 14:14:54,2010-07-06 09:31:49,0.010680253439291557,1,1
2010-07-02 15:06:38,2010-07-06 09:31:49,0.01052233998123737,1,1
2010-07-02 15:29:43,2010-07-06 09:31:49,0.010545696324321806,1,1
